Rank,Player,Position,Week,Team,Opponent,Comp,PassAtt,CompPct,PassYds,PassYdsPerAtt,PassTD,Interceptions,QBRating,RushAtt,RushYds,RushYdsPerAtt,RushTD,Points,Year
1,Ben Roethlisberger,QB,9,PIT,BAL,25,37,68,340,9,6,0,136,2,1,1,0,39.70,2014
2,Andrew Luck,QB,9,IND,NYG,25,46,54,354,8,4,0,108,2,5,3,0,33.66,2014
3,Tom Brady,QB,9,NE,DEN,33,53,62,333,6,4,1,97,2,4,2,0,31.72,2014
4,Ryan Tannehill,QB,9,MIA,LAC,24,34,71,288,9,3,0,126,4,47,12,0,28.22,2014
5,Peyton Manning,QB,9,DEN,NE,34,57,60,438,8,2,2,81,2,3,2,0,26.82,2014
6,Eli Manning,QB,9,NYG,IND,27,52,52,359,7,2,0,87,1,18,18,0,26.16,2014
7,Joe Flacco,QB,9,BAL,PIT,30,45,67,303,7,2,1,91,1,2,2,0,22.32,2014
8,Brian Hoyer,QB,9,CLE,TB,21,34,62,300,9,2,2,85,3,-1,0,0,20.90,2014
9,Carson Palmer,QB,9,ARI,DAL,22,34,65,249,7,3,1,104,2,-2,-1,0,20.76,2014
10,Drew Brees,QB,9,NO,CAR,24,34,71,297,9,1,1,95,4,2,1,1,20.08,2014
11,Ryan Fitzpatrick,QB,9,HOU,PHI,13,27,48,203,8,2,1,83,6,49,8,0,20.02,2014
12,Mike Glennon,QB,9,TB,CLE,17,33,52,260,8,2,2,73,3,17,6,0,18.10,2014
13,Blake Bortles,QB,9,JAX,CIN,22,33,67,247,8,2,1,96,4,10,3,0,17.88,2014
14,Teddy Bridgewater,QB,9,MIN,WAS,26,42,62,268,6,1,0,88,3,20,7,0,16.72,2014
15,Andy Dalton,QB,9,CIN,JAX,19,31,61,233,8,2,2,79,2,11,6,0,16.42,2014
16,Alex Smith,QB,9,KC,NYJ,21,31,68,199,6,2,0,107,0,0,0,0,15.96,2014
17,Robert Griffin III,QB,9,WAS,MIN,18,28,64,251,9,1,1,90,7,24,3,0,15.44,2014
18,Derek Carr,QB,9,OAK,SEA,24,41,59,194,5,2,2,67,2,9,5,0,14.66,2014
19,Mark Sanchez,QB,9,PHI,HOU,15,22,68,202,9,2,2,90,5,5,1,0,14.58,2014
20,Cam Newton,QB,9,CAR,NO,10,28,36,151,5,0,1,39,7,43,6,1,14.34,2014
21,Michael Vick,QB,9,NYJ,KC,21,28,75,196,7,1,0,106,4,18,5,0,13.64,2014
22,Colin Kaepernick,QB,9,SF,LAR,22,33,67,237,7,1,0,98,5,14,3,0,12.88,2014
23,Russell Wilson,QB,9,SEA,OAK,17,35,49,179,5,0,0,64,8,31,4,0,10.26,2014
24,Brandon Weeden,QB,9,DAL,ARI,18,33,55,183,6,1,2,55,2,2,1,0,9.52,2014
25,Nick Foles,QB,9,PHI,HOU,9,12,75,124,10,1,1,101,1,1,1,0,8.06,2014
26,Austin Davis,QB,9,LAR,SF,13,24,54,105,4,1,2,45,2,9,5,0,7.10,2014
27,Philip Rivers,QB,9,LAC,MIA,12,23,52,138,6,0,3,31,1,3,3,0,1.82,2014
28,Matt Simms,QB,9,NYJ,KC,3,8,38,39,5,0,0,54,1,2,2,0,1.76,2014
29,Matt Moore,QB,9,MIA,LAC,2,4,50,21,5,0,0,66,0,0,0,0,0.84,2014
30,Kellen Clemens,QB,9,LAC,MIA,1,3,33,10,3,0,0,44,0,0,0,0,0.40,2014
31,Joe Webb,QB,9,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
32,Luke McCown,QB,9,NO,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
33,Derek Anderson,QB,9,CAR,NO,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
34,Shaun Hill,QB,9,LAR,SF,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
35,Matt Schaub,QB,9,OAK,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
36,Ryan Nassib,QB,9,NYG,IND,0,0,0,0,0,0,0,0,0,0,0,0,0.00,2014
